FID	place_name	category1	dem_RANGE	dem_MEAN	fac_MEAN	hdis_MIN	hdis_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	vdis_MIN	vdis_MEAN
20565	·s®H¤l	®H	114.00 	68.54 	230.90 	0.00 	239.41 	7.14 	104.61 	0.10 	0.00 	28.81 
20570	¤½®H¥Ð	®H	221.00 	236.29 	2327.49 	0.00 	278.58 	7.38 	223.95 	0.12 	0.00 	23.87 
20571	¤½®H	®H	103.00 	236.28 	1688.78 	0.00 	274.60 	4.95 	155.19 	0.08 	0.00 	17.36 
20585	ÆZ¤H®H	®H	100.00 	181.74 	370.91 	0.00 	314.20 	4.44 	103.91 	0.07 	0.00 	13.71 
20592	ÀY¤H®H	®H	150.00 	210.66 	2286.58 	0.00 	511.99 	5.62 	157.78 	0.08 	0.00 	25.55 
20593	®HÀY	®H	197.00 	258.11 	284.83 	0.00 	413.05 	7.57 	254.57 	0.12 	0.00 	43.83 
20660	®H¤ß¥J	®H	81.00 	286.06 	48.65 	0.00 	696.90 	3.81 	74.40 	0.06 	0.00 	32.53 
20696	·s®HªÀ°Ï	®H	43.00 	79.82 	1174.27 	0.00 	191.88 	1.91 	71.17 	0.03 	0.00 	5.62 
20739	ÃÆ¥J®H	®H	161.00 	217.74 	243.87 	0.00 	220.67 	13.46 	162.69 	0.21 	0.00 	43.48 
20755	®H¤ß	®H	62.00 	183.07 	63.12 	0.00 	573.71 	3.31 	64.20 	0.05 	0.00 	16.88 
20768	¤­­d®H	®H	15.00 	38.28 	7144.12 	0.00 	280.00 	1.61 	20.77 	0.02 	0.00 	4.22 
20779	®H¥J¼d	®H	168.00 	85.96 	75.08 	0.00 	385.05 	11.69 	159.00 	0.18 	0.00 	38.59 
20797	¥Ë?®H	®H	216.00 	116.09 	18.29 	0.00 	899.79 	17.56 	195.26 	0.27 	0.00 	61.24 
20815	¶À®H¤G§ø	®H	21.00 	12.89 	606.98 	0.00 	360.39 	1.09 	23.88 	0.01 	0.00 	2.64 
20835	·s®H«¸ªL·sÉÜ	®H	125.00 	16.76 	155.02 	0.00 	269.13 	4.09 	128.92 	0.07 	0.00 	8.99 
20837	·s®H°ê¦v	®H	40.00 	77.87 	1285.16 	0.00 	199.94 	1.88 	65.76 	0.02 	0.00 	5.25 
20881	¥Û¿à®H	®H	5.00 	2.32 	627.75 	0.00 	252.12 	0.88 	6.50 	0.01 	0.00 	0.19 
20953	?«á®H¥J	®H	13.00 	8.78 	34.69 	0.00 	673.23 	0.95 	16.59 	0.01 	0.00 	4.33 
20964	¦Ç¼d¥J®H	®H	6.00 	12.35 	105.13 	0.00 	358.19 	0.86 	7.18 	0.01 	0.00 	1.54 
21027	«C®H¥J	®H	27.00 	83.48 	417.30 	0.00 	283.43 	1.52 	24.52 	0.02 	0.00 	7.82 
21041	®H«¸ªL	®H	10.00 	10.53 	100.47 	0.00 	502.58 	0.91 	9.71 	0.01 	0.00 	2.65 
21081	ªá?®H	®H	8.00 	10.66 	125.07 	0.00 	289.66 	0.79 	8.23 	0.01 	0.00 	1.96 
21166	®ü®H¥J	®H	12.00 	2.48 	31.83 	0.00 	434.34 	0.88 	11.64 	0.01 	0.00 	1.88 
21176	®ü®H­í	®H	7.00 	4.07 	34.28 	0.00 	498.48 	0.64 	8.28 	0.01 	0.00 	2.05 
21187	«nÂùÁp®H	®H	28.00 	203.04 	636.36 	0.00 	209.50 	1.78 	30.17 	0.02 	0.00 	14.00 
21189	¤j¤û®H	®H	28.00 	203.32 	592.67 	0.00 	221.38 	1.84 	30.74 	0.02 	0.00 	13.56 
21190	¥_ÂùÁp®H	®H	30.00 	199.84 	657.44 	0.00 	202.82 	1.71 	28.86 	0.02 	0.00 	16.56 
21231	®}­í®H	®H	23.00 	183.67 	70.13 	0.00 	391.45 	1.80 	25.42 	0.02 	0.00 	10.68 
21233	¤û®H¥J	®H	26.00 	175.41 	68.24 	0.00 	410.89 	1.45 	25.53 	0.02 	0.00 	10.40 
21255	¤û®H	®H	6.00 	3.96 	16.13 	280.00 	1036.54 	0.48 	5.65 	0.01 	0.00 	0.87 
21257	·¬¥JªL®H	®H	33.00 	192.21 	106.96 	0.00 	282.76 	2.10 	31.25 	0.03 	0.00 	10.21 
21264	µÕ®H¼d	®H	12.00 	6.60 	3046.89 	0.00 	385.94 	0.92 	10.82 	0.01 	0.00 	2.23 
21269	¹i¼d®H	®H	335.00 	128.30 	488.22 	0.00 	358.33 	19.71 	344.61 	0.32 	0.00 	77.58 
21277	­T®H¥J	®H	374.00 	268.68 	7583.26 	0.00 	452.51 	20.98 	384.43 	0.36 	0.00 	96.32 
21319	¤T¬É®H	®H	65.00 	48.34 	1437.50 	0.00 	606.15 	3.36 	69.57 	0.05 	0.00 	14.01 
21359	¤û¸Y®H	®H	72.00 	44.08 	120.21 	0.00 	320.88 	6.42 	75.28 	0.10 	0.00 	12.42 
21410	¸é¥J®H	®H	381.00 	172.04 	23.05 	0.00 	747.75 	20.72 	352.39 	0.34 	0.00 	111.90 
21422	¤g¦a¤½®H	®H	185.00 	207.97 	136.29 	0.00 	363.29 	12.56 	211.87 	0.19 	0.00 	58.74 
21432	®H§À	®H	143.00 	114.82 	202.55 	0.00 	273.54 	9.46 	142.69 	0.14 	0.00 	35.92 
21433	§êÀ¸®H	®H	315.00 	239.98 	37.79 	0.00 	649.22 	13.68 	293.03 	0.21 	0.00 	124.64 
21439	­T®HÀY	®H	207.00 	81.70 	537.51 	0.00 	231.53 	10.19 	283.27 	0.16 	0.00 	37.61 
21441	¤û®H¤l	®H	261.00 	125.12 	235.37 	0.00 	311.39 	12.97 	299.64 	0.21 	0.00 	51.57 
21492	¶ï¤l®HÀY	®H	465.00 	402.64 	11768.08 	0.00 	270.43 	18.49 	497.94 	0.32 	0.00 	79.06 
21612	¤û¼d®H	®H	501.00 	182.93 	17.22 	215.41 	1075.71 	17.90 	429.14 	0.28 	0.00 	145.42 
21662	°T¶í®H	®H	62.00 	7.58 	160.19 	0.00 	224.09 	3.01 	121.68 	0.05 	0.00 	6.06 
21858	¤½®H¤l	®H	114.00 	68.39 	230.37 	0.00 	239.60 	7.12 	104.56 	0.10 	0.00 	28.83 
21904	¤U®H¤l	®H	129.00 	84.58 	1027.47 	0.00 	232.31 	3.85 	103.25 	0.06 	0.00 	13.28 
21914	«á¥¬®H	®H	10.00 	17.35 	106.03 	0.00 	329.73 	0.74 	14.20 	0.01 	0.00 	3.16 
21934	¦è®H¤l	®H	24.00 	75.53 	625.84 	0.00 	378.05 	1.57 	24.96 	0.02 	0.00 	4.78 
21938	½Þ®H¥J	®H	22.00 	133.01 	863.36 	0.00 	280.88 	1.30 	22.07 	0.02 	0.00 	5.79 
21950	§À®H¥J	®H	16.00 	96.47 	36.78 	0.00 	594.89 	1.17 	15.84 	0.01 	0.00 	5.06 
21986	®H¥J¤U	®H	121.00 	10.12 	73.24 	0.00 	385.78 	4.00 	142.35 	0.06 	0.00 	10.21 
21988	®HÀY	®H	27.00 	17.63 	180.70 	0.00 	376.08 	1.59 	24.14 	0.02 	0.00 	9.12 
22037	¤j¤û®H	®H	359.00 	369.65 	18.93 	0.00 	845.71 	20.47 	417.93 	0.32 	0.00 	182.18 
22137	¥¬³U®ü®H·s¥ÍªÀ°Ï	®H	4.00 	0.48 	5.69 	40.00 	349.44 	0.92 	3.95 	0.01 	0.00 	0.39 
22138	µæ¥«®H	®H	20.00 	12.07 	56.49 	0.00 	724.70 	1.59 	19.71 	0.02 	0.00 	6.62 
22178	°­¥J®H	®H	21.00 	10.92 	42.89 	0.00 	775.96 	1.51 	19.37 	0.02 	0.00 	6.44 
22466	¦è®H¤º	®H	4.00 	2.32 	102.18 	0.00 	395.14 	0.52 	3.97 	0.01 	0.00 	0.65 
22515	¥|®H§d	®H	5.00 	3.83 	475.99 	0.00 	616.28 	0.52 	4.39 	0.01 	0.00 	2.00 
22519	¥_®H	®H	5.00 	4.62 	14.13 	379.47 	1023.98 	0.51 	5.34 	0.01 	0.00 	2.20 
22576	¤j®H	®H	64.00 	114.48 	129.58 	0.00 	233.17 	2.78 	66.55 	0.04 	0.00 	12.55 
22579	¤G­«®H	®H	73.00 	199.33 	99.57 	0.00 	440.39 	2.96 	73.90 	0.04 	0.00 	28.67 
22621	®H¤¤¥¡	®H	276.00 	329.52 	11.45 	632.46 	1423.22 	16.92 	277.72 	0.26 	47.00 	169.24 
22630	¥~®H	®H	19.00 	145.06 	83.59 	0.00 	578.75 	1.41 	58.33 	0.02 	0.00 	10.31 
22672	­T®H	®H	756.00 	650.66 	72.78 	0.00 	648.91 	25.38 	642.86 	0.42 	0.00 	224.60 
22683	ªF®H¼d	®H	256.00 	360.17 	593.29 	0.00 	410.00 	17.26 	334.68 	0.27 	0.00 	76.98 
22686	ªF®HÓÂ¼d	®H	256.00 	360.21 	593.63 	0.00 	413.58 	17.24 	334.65 	0.27 	0.00 	77.30 
22697	¥ÒÀY®H	®H	210.00 	136.00 	1513.05 	0.00 	439.23 	11.89 	187.85 	0.18 	0.00 	46.39 
22760	¤j¯ó®H	®H	132.00 	173.65 	111.13 	0.00 	368.73 	9.91 	162.04 	0.15 	0.00 	33.03 
22798	¤j®H§À¬ü	®H	36.00 	59.03 	77.04 	0.00 	359.40 	1.83 	36.31 	0.03 	0.00 	7.63 
22815	­T®HÀ­	®H	571.00 	1026.39 	19.72 	0.00 	940.23 	29.78 	606.12 	0.48 	0.00 	333.08 
22833	?®H	®H	571.00 	1099.76 	15.21 	341.76 	931.03 	29.22 	639.13 	0.50 	0.00 	354.04 
22878	¥ÛÀY®H	®H	174.00 	215.58 	110.35 	0.00 	411.11 	8.27 	170.87 	0.13 	0.00 	31.02 
22890	«á¼d®H	®H	8.00 	6.18 	46.96 	144.22 	671.14 	0.63 	7.88 	0.01 	0.00 	2.80 
22969	µ×®H	®H	3.00 	4.94 	88.40 	0.00 	281.16 	0.53 	4.01 	0.01 	0.00 	2.02 
22975	¤ý·Ý®H	®H	4.00 	1.97 	865.68 	0.00 	135.83 	0.53 	3.39 	0.01 	0.00 	1.00 
22976	ÆQ®H	®H	3.00 	1.69 	736.50 	0.00 	144.47 	0.63 	3.66 	0.01 	0.00 	1.00 
22979	ªo¨®®H	®H	3.00 	1.85 	1001.22 	0.00 	138.44 	0.54 	3.21 	0.01 	0.00 	0.91 
22983	®H¥J	®H	5.00 	4.28 	309.84 	0.00 	576.72 	0.60 	4.22 	0.01 	0.00 	1.72 
23040	®H¥J	®H	3.00 	0.69 	911.42 	0.00 	312.95 	0.78 	47.78 	0.01 	0.00 	0.70 
23041	®H¥J§À	®H	3.00 	0.62 	762.12 	0.00 	340.32 	0.73 	5.04 	0.01 	0.00 	0.65 
23042	®H¥J¤f	®H	3.00 	0.63 	991.61 	0.00 	351.00 	0.71 	13.00 	0.01 	0.00 	0.65 
23097	¥~­±®H¥J	®H	5.00 	0.71 	13.07 	0.00 	520.78 	1.30 	5.17 	0.01 	0.00 	0.61 
23102	®H¤f	®H	6.00 	1.33 	8.33 	40.00 	692.23 	1.08 	5.26 	0.01 	0.00 	1.40 
23123	°AÁ¬®H	®H	92.00 	49.75 	1363.22 	0.00 	248.53 	6.26 	126.67 	0.09 	0.00 	17.15 
23153	¤ù®H	®H	191.00 	89.95 	210.65 	0.00 	321.45 	18.58 	225.99 	0.30 	0.00 	70.33 
23169	¤W®H	®H	26.00 	25.28 	104.88 	0.00 	200.31 	1.68 	37.71 	0.02 	0.00 	5.22 
23170	¨F®H	®H	69.00 	34.01 	91.55 	0.00 	295.91 	2.69 	73.67 	0.04 	0.00 	8.49 
23172	¨F«C®H	®H	69.00 	52.38 	50.50 	0.00 	560.17 	3.97 	81.54 	0.06 	0.00 	19.46 
23192	¤j«n®H	®H	159.00 	146.74 	2620.77 	0.00 	259.37 	9.43 	165.88 	0.15 	0.00 	31.51 
23193	¤p«n®H	®H	130.00 	123.93 	701.48 	0.00 	317.29 	6.59 	136.48 	0.10 	0.00 	23.35 
23198	¤p¥_®H	®H	152.00 	137.67 	2388.33 	0.00 	320.78 	12.78 	162.30 	0.20 	0.00 	42.53 
23227	¥­®H	®H	81.00 	33.12 	142.82 	0.00 	328.92 	10.76 	86.64 	0.17 	0.00 	18.91 
23267	¤U¤j®H	®H	133.00 	154.39 	4058.35 	0.00 	235.82 	5.46 	137.78 	0.08 	0.00 	16.67 
23273	¤W®H	®H	136.00 	172.23 	3055.02 	0.00 	220.84 	9.52 	161.26 	0.15 	0.00 	27.96 
23284	¨®ÀY®H	®H	26.00 	7.57 	173.26 	0.00 	240.21 	1.46 	102.13 	0.02 	0.00 	4.23 
23296	¶À¥J«H®H	®H	20.00 	4.67 	192.20 	0.00 	216.74 	1.30 	47.80 	0.02 	0.00 	2.94 
23310	¤U®H§À	®H	6.00 	0.45 	99.19 	0.00 	283.32 	1.02 	10.73 	0.01 	0.00 	0.41 
23377	¤½®H	®H	143.00 	115.88 	1728.52 	0.00 	364.28 	7.91 	186.70 	0.12 	0.00 	25.06 
23416	¤º®H	®H	530.00 	628.51 	1344.28 	0.00 	599.52 	21.49 	486.71 	0.38 	0.00 	129.05 
23440	¤û®HÀY	®H	208.00 	128.70 	47.36 	0.00 	539.92 	7.57 	174.70 	0.12 	0.00 	37.90 
23469	·s®H	®H	45.00 	37.18 	698.03 	0.00 	283.21 	4.54 	46.83 	0.07 	0.00 	9.01 
23564	®H¥J	®H	11.00 	15.58 	173.22 	0.00 	725.86 	1.08 	13.61 	0.01 	0.00 	5.36 
23566	¤j®H	®H	10.00 	13.76 	434.68 	0.00 	589.27 	0.99 	11.00 	0.01 	0.00 	4.13 
23588	»ñ±ù¦v®H¥J	®H	16.00 	26.11 	65.58 	0.00 	475.45 	1.65 	23.73 	0.02 	0.00 	5.92 
23591	«á¾À®H¥J	®H	15.00 	23.26 	24.90 	200.00 	820.32 	1.28 	18.74 	0.02 	0.00 	6.43 
23647	¥W¥J©³®H	®H	9.00 	3.92 	1790.23 	0.00 	331.45 	1.15 	8.97 	0.01 	0.00 	1.42 
23651	¶é¥J®H	®H	9.00 	3.94 	1800.31 	0.00 	335.74 	1.16 	8.95 	0.01 	0.00 	1.43 
23773	¤j®H	®H	18.00 	15.76 	94.20 	0.00 	598.86 	1.72 	19.15 	0.02 	0.00 	6.26 
23880	µæ¥«®H	®H	20.00 	12.07 	56.49 	0.00 	724.70 	1.59 	19.71 	0.02 	0.00 	6.62 
23881	¤U¼d®H¥J	®H	260.00 	311.68 	126.02 	0.00 	380.85 	17.38 	278.20 	0.28 	0.00 	67.58 
23911	°­¥J®H	®H	21.00 	10.92 	42.89 	0.00 	775.96 	1.51 	19.37 	0.02 	0.00 	6.44 
23939	¤UÂÂ¤l®H	®H	11.00 	1.60 	194.63 	0.00 	310.36 	0.76 	9.44 	0.01 	0.00 	1.21 
23948	¤û®H	®H	162.00 	28.74 	73.35 	0.00 	362.24 	7.62 	130.05 	0.12 	0.00 	20.87 
23952	¤û®H¥Û¿i¤½	®H	167.00 	45.14 	56.10 	0.00 	453.59 	10.80 	152.87 	0.17 	0.00 	34.93 
23953	¤û®H­S­í	®H	167.00 	45.60 	62.33 	0.00 	426.93 	11.21 	153.96 	0.18 	0.00 	35.42 
23954	¤û®H³¯­í	®H	167.00 	36.42 	53.91 	0.00 	479.49 	9.01 	140.36 	0.14 	0.00 	27.36 
23972	¥|¸}«F®H	®H	154.00 	64.44 	2250.32 	0.00 	226.84 	12.85 	180.10 	0.20 	0.00 	35.84 
24123	¦è®H¤º	®H	4.00 	2.32 	102.18 	0.00 	395.14 	0.52 	3.97 	0.01 	0.00 	0.65 
24196	¥|®H§d	®H	5.00 	3.83 	475.99 	0.00 	616.28 	0.52 	4.39 	0.01 	0.00 	2.00 
24205	¥_®H	®H	5.00 	4.62 	14.13 	379.47 	1023.98 	0.51 	5.34 	0.01 	0.00 	2.20 
24240	®H¥J§À	®H	6.00 	4.74 	23.75 	0.00 	864.43 	0.45 	4.92 	0.01 	0.00 	1.21 
24284	µÕ¥J®H	®H	6.00 	2.27 	1273.83 	0.00 	603.74 	0.34 	5.57 	0.00 	0.00 	0.47 
24303	®H§À	®H	3.00 	3.42 	65.68 	0.00 	439.78 	0.51 	3.48 	0.01 	0.00 	1.66 
24473	¤W«C®H	®H	21.00 	100.98 	49.99 	0.00 	496.34 	1.21 	20.30 	0.02 	0.00 	7.16 
24496	²Ó­T®H	®H	119.00 	89.21 	1993.76 	0.00 	273.92 	8.88 	107.12 	0.13 	0.00 	22.01 
24541	¤º­T®H	®H	294.00 	349.70 	212.29 	0.00 	401.92 	19.06 	348.89 	0.31 	0.00 	79.90 
24542	¥~­T®H	®H	268.00 	326.09 	238.37 	0.00 	374.42 	18.08 	310.54 	0.30 	0.00 	63.53 
24547	¨®Å¢®H	®H	211.00 	96.04 	883.45 	0.00 	540.77 	5.10 	166.55 	0.08 	0.00 	18.02 
24562	¤­Éü´ä®H	®H	27.00 	135.48 	152.33 	0.00 	252.15 	1.19 	26.61 	0.02 	0.00 	10.28 
24568	¤U¤û®H	®H	21.00 	164.05 	97.57 	0.00 	209.51 	0.97 	21.59 	0.01 	0.00 	6.67 
24586	¤û®HÀY	®H	20.00 	167.72 	104.18 	0.00 	214.71 	0.97 	20.98 	0.01 	0.00 	5.89 
24597	¤g¦a¤½®H¥J	®H	51.00 	167.82 	82.92 	0.00 	412.67 	1.85 	54.28 	0.03 	0.00 	16.77 
24652	­ûªL¥J®H	®H	29.00 	152.25 	254.14 	0.00 	199.71 	1.22 	29.03 	0.02 	0.00 	8.15 
24803	?¤H®H	®H	138.00 	205.94 	2511.66 	0.00 	464.71 	5.34 	141.02 	0.08 	0.00 	21.83 
24808	ÂÂ¿}®H	®H	161.00 	270.63 	1086.86 	0.00 	223.77 	8.80 	143.35 	0.14 	0.00 	30.38 
24826	??®H	®H	198.00 	292.76 	273.94 	0.00 	615.01 	6.41 	196.91 	0.10 	0.00 	39.07 
24827	??®H	®H	198.00 	292.76 	273.94 	0.00 	615.01 	6.41 	196.91 	0.10 	0.00 	39.07 
24908	­T®H	®H	3.00 	0.67 	20.22 	40.00 	447.87 	0.60 	3.14 	0.01 	0.00 	0.66 
24926	¤½®H	®H	104.00 	4.56 	166.78 	0.00 	348.44 	1.45 	78.70 	0.02 	0.00 	2.60 
24936	¤û¼d®H	®H	143.00 	28.24 	71.74 	0.00 	303.08 	7.14 	142.11 	0.11 	0.00 	18.32 
24966	µf¥J®H	®H	3.00 	0.84 	115.27 	0.00 	293.44 	0.79 	8.62 	0.01 	0.00 	0.64 
24993	¤û®H¥J	®H	17.00 	2.21 	36.56 	0.00 	486.06 	1.06 	12.79 	0.01 	0.00 	1.12 
25090	°¨ÑL®H	®H	6.00 	5.42 	62.21 	0.00 	569.46 	0.85 	5.59 	0.01 	0.00 	0.88 
25124	ºX§ý®H¥J	®H	5.00 	5.61 	45.09 	0.00 	883.66 	0.79 	5.92 	0.01 	0.00 	0.99 
25132	³À¼d®H	®H	87.00 	111.98 	321.46 	0.00 	174.19 	5.93 	126.35 	0.09 	0.00 	16.88 
25157	¥~®H¥J	®H	59.00 	134.73 	134.00 	0.00 	328.34 	2.82 	64.24 	0.04 	0.00 	14.64 
25175	©Þ¤l®H	®H	263.00 	127.71 	283.76 	0.00 	341.39 	16.68 	272.11 	0.26 	0.00 	85.02 
25199	¤j®H³¡¸¨	®H	35.00 	279.20 	47.41 	0.00 	787.42 	1.36 	34.25 	0.02 	0.00 	9.02 
25216	ªF®H³¡¸¨	®H	694.00 	1151.44 	1526.35 	0.00 	216.38 	28.22 	761.79 	0.50 	0.00 	127.04 
25263	´J®H®H§ø	®H	5.00 	1.57 	115.97 	0.00 	190.19 	0.47 	5.55 	0.01 	0.00 	0.90 
25297	®H§À	®H	114.00 	30.71 	579.14 	0.00 	248.66 	13.85 	136.30 	0.22 	0.00 	22.84 
25309	°ê¸t®H	®H	247.00 	45.01 	15.94 	466.48 	1036.50 	17.81 	245.27 	0.29 	0.00 	75.67 
25402	¥­®H¥J¸}	®H	208.00 	97.09 	120.81 	0.00 	296.81 	18.45 	197.57 	0.30 	0.00 	61.06 
25412	¤û®H	®H	190.00 	43.80 	25.63 	0.00 	663.37 	17.44 	194.71 	0.28 	0.00 	38.69 
25422	¤jÃ÷®H	®H	209.00 	161.19 	34.67 	0.00 	677.15 	17.04 	236.89 	0.26 	0.00 	88.48 
25432	®H§À	®H	297.00 	193.68 	15.30 	280.00 	1032.54 	18.14 	294.49 	0.27 	9.00 	113.66 
25502	³À®H«°	®H	24.00 	16.87 	1225.95 	0.00 	204.87 	1.34 	21.22 	0.02 	0.00 	4.69 
25503	³À®H«°¥J	®H	24.00 	16.87 	1225.95 	0.00 	204.87 	1.34 	21.22 	0.02 	0.00 	4.69 
25528	¥kÀç®H	®H	19.00 	13.45 	29.05 	440.00 	1160.49 	1.72 	19.09 	0.02 	0.00 	6.75 
25564	®H¤f	®H	8.00 	4.18 	1621.97 	0.00 	366.80 	1.20 	10.88 	0.01 	0.00 	0.47 
25608	ºX¬ñ®H	®H	16.00 	6.69 	1392.00 	0.00 	171.56 	1.23 	14.73 	0.02 	0.00 	0.42 
25692	¶é®H«á	®H	93.00 	52.30 	790.61 	0.00 	247.92 	13.05 	99.97 	0.21 	0.00 	19.54 
25695	¤û®H	®H	133.00 	68.59 	210.18 	0.00 	210.22 	13.97 	117.31 	0.22 	0.00 	24.40 
25703	·t¨F®H	®H	133.00 	68.59 	210.18 	0.00 	210.22 	13.97 	117.31 	0.22 	0.00 	24.40 
25718	¤U®H	®H	105.00 	55.54 	978.43 	0.00 	417.39 	14.04 	96.53 	0.22 	0.00 	24.10 
25728	¤j®H	®H	107.00 	64.17 	214.79 	0.00 	397.48 	13.29 	113.18 	0.21 	0.00 	27.51 
25737	·£¥J®H	®H	89.00 	39.26 	3993.31 	0.00 	146.11 	10.00 	92.59 	0.15 	0.00 	14.30 
25769	ªL¥J¤f®H	®H	8.00 	5.67 	613.79 	0.00 	403.45 	0.89 	8.97 	0.01 	0.00 	1.41 
25782	¤j®H	®H	32.00 	15.41 	57.71 	0.00 	574.92 	1.89 	70.57 	0.03 	0.00 	6.78 
25788	«õ¥J®H	®H	123.00 	22.31 	29.56 	322.49 	956.37 	3.42 	120.81 	0.05 	0.00 	15.06 
25797	«e®p¥J®H	®H	14.00 	6.70 	118.96 	0.00 	226.74 	1.10 	16.70 	0.02 	0.00 	1.84 
25806	¤j®H	®H	32.00 	15.41 	57.71 	0.00 	574.92 	1.89 	70.57 	0.03 	0.00 	6.78 
25807	¤p®H	®H	8.00 	3.94 	1010.57 	0.00 	271.36 	1.47 	8.76 	0.02 	0.00 	0.59 
25809	ªü¤½©±®H	®H	8.00 	5.40 	183.23 	0.00 	480.33 	0.99 	9.27 	0.01 	0.00 	1.16 
25811	«e®p®H	®H	9.00 	5.57 	333.92 	0.00 	388.26 	1.19 	9.19 	0.01 	0.00 	1.45 
25864	´ä¥J®H	®H	24.00 	4.74 	59.54 	0.00 	374.33 	1.01 	28.61 	0.01 	0.00 	2.48 
25873	¤û®H¤l	®H	512.00 	4.85 	87.51 	0.00 	259.51 	3.69 	512.00 	0.34 	0.00 	4.75 
25986	ªe®H	®H	39.00 	65.00 	4135.28 	0.00 	196.09 	3.92 	72.96 	0.05 	0.00 	12.42 
25999	®H§À	®H	91.00 	84.25 	92.82 	0.00 	349.34 	3.88 	96.40 	0.06 	0.00 	20.11 
26065	ÀY­«®H	®H	69.00 	74.19 	158.86 	0.00 	357.57 	2.76 	70.93 	0.04 	0.00 	13.54 
26073	¿D®H	®H	85.00 	7.13 	161.27 	0.00 	415.70 	5.45 	120.37 	0.08 	0.00 	5.79 
26095	¥Ë½`®H	®H	176.00 	226.12 	376.46 	0.00 	582.66 	15.20 	168.02 	0.24 	0.00 	46.64 
26096	¤G­«®H	®H	63.00 	75.16 	6252.98 	0.00 	196.41 	3.18 	58.83 	0.04 	0.00 	12.27 
26117	¤T­«®H	®H	130.00 	129.36 	5243.20 	0.00 	333.25 	7.33 	119.04 	0.11 	0.00 	27.12 
26118	¥|­«®H	®H	130.00 	131.37 	5808.00 	0.00 	388.87 	7.75 	124.50 	0.12 	0.00 	32.99 
26123	­T¤l®H	®H	179.00 	138.04 	1760.80 	0.00 	265.89 	10.49 	191.35 	0.17 	0.00 	33.63 
26156	×^¥J®H	®H	58.00 	87.36 	7020.17 	0.00 	153.28 	2.83 	76.42 	0.04 	0.00 	5.61 
26207	¤g¦a¤½®H	®H	10.00 	28.53 	54.89 	0.00 	670.92 	1.25 	9.94 	0.02 	0.00 	1.98 
26245	®H¤ß©³	®H	7.00 	27.00 	2266.94 	0.00 	368.29 	0.61 	6.66 	0.01 	0.00 	2.76 
26332	¤û­í®H	®H	8.00 	25.13 	176.39 	0.00 	344.52 	1.15 	10.68 	0.01 	0.00 	1.31 
26364	¤û®H­í	®H	6.00 	6.68 	2036.88 	0.00 	259.00 	0.46 	6.97 	0.01 	0.00 	0.74 
26365	®H¤ß¤l	®H	5.00 	6.86 	2892.16 	0.00 	222.65 	0.48 	5.12 	0.01 	0.00 	0.87 
26374	¤j®H	®H	146.00 	61.74 	50.03 	0.00 	436.65 	16.82 	150.71 	0.26 	0.00 	44.12 
26375	¤j®H§À	®H	146.00 	59.85 	53.41 	0.00 	396.96 	17.07 	146.27 	0.26 	0.00 	42.99 
26387	³°­x®H	®H	209.00 	86.74 	18.78 	0.00 	742.87 	16.01 	174.73 	0.24 	0.00 	52.45 
26419	Ûn¥J®H	®H	144.00 	48.88 	39.43 	0.00 	409.44 	14.57 	148.75 	0.23 	0.00 	40.98 
26423	³°­x®H	®H	141.00 	31.82 	50.45 	0.00 	349.19 	12.93 	147.42 	0.21 	0.00 	29.44 
26429	Ûn¥J®H	®H	143.00 	50.54 	41.15 	0.00 	412.24 	14.23 	142.34 	0.22 	0.00 	41.98 
26453	¤û®H¥J	®H	160.00 	29.12 	43.34 	0.00 	304.94 	12.92 	161.45 	0.21 	0.00 	27.92 
26493	³°­x®H	®H	126.00 	24.11 	55.02 	0.00 	290.74 	11.59 	142.83 	0.19 	0.00 	23.34 
26494	®H¥J§À	®H	141.00 	29.60 	52.23 	0.00 	335.35 	12.60 	146.08 	0.20 	0.00 	27.80 
26506	¥~®H¥J	®H	147.00 	39.61 	41.00 	0.00 	351.70 	15.28 	140.43 	0.24 	0.00 	36.90 
26540	®H¥J§À	®H	19.00 	28.79 	54.68 	0.00 	698.45 	1.18 	17.29 	0.02 	0.00 	7.51 
26547	¤û¸Y®H	®H	11.00 	29.66 	24.15 	40.00 	745.65 	0.74 	14.93 	0.01 	0.00 	6.87 
26594	¬â®H³À³¡¸¨	®H	399.00 	515.54 	940.12 	0.00 	323.40 	19.49 	469.44 	0.32 	0.00 	86.38 
26678	¤g¦a¤½®H	®H	79.00 	58.79 	372.54 	0.00 	276.31 	7.29 	91.08 	0.11 	0.00 	17.22 
26759	³Â®H	®H	77.00 	52.90 	109.08 	0.00 	317.39 	9.91 	88.67 	0.15 	0.00 	15.95 
26800	®H§À	®H	12.00 	22.40 	801.02 	0.00 	334.25 	0.90 	10.46 	0.01 	0.00 	1.58 
26834	¤j®H	®H	27.00 	28.11 	472.74 	0.00 	266.75 	2.27 	28.71 	0.03 	0.00 	6.03 
26915	±i­í®H	®H	6.00 	19.25 	93.96 	0.00 	456.79 	0.38 	5.83 	0.00 	0.00 	2.46 
26951	¤j®H	®H	11.00 	16.65 	41.43 	0.00 	744.65 	0.77 	9.47 	0.01 	0.00 	4.56 
27177	¤û®H	®H	37.00 	44.47 	877.45 	0.00 	442.56 	1.09 	123.19 	0.02 	0.00 	2.71 
